参数类别,MATLAB参数名,当前值,单位,中文说明,调大或启用后的影响,调小或禁用后的影响,修改建议
Stage A 与时间范围,cfg.optimization.time_slack,0.02,相对值,时间–振动 Pareto 前沿相对最短时间可增加的比例；0.02 表示 2%。,整数时间候选点增多，Pareto 解更多，并通常能获得更低振动。,候选点减少且更接近严格最短时间。,需要更多时间–振动 Pareto 解时提高
Stage A 与时间范围,cfg.optimization.initial_segment_time,0.45,s/段,构造慢速初始可行轨迹时每段的初始时长。,初始可行性更好，但首次模型更大。,启动更快，但可能找不到初始可行解。,求解困难时再修改
Stage A 与时间范围,cfg.optimization.initial_growth,1.15,倍率,初始轨迹不可行时，每次放大分段时间的倍率。,更快扩大时长，但搜索步长更粗。,增长更细，但尝试次数可能增加。,高级调参
Stage A 与时间范围,cfg.optimization.max_initial_attempts,8,次,构造初始可行轨迹的最大尝试次数。,更不易过早失败，但最坏运行时间增加。,失败更快，但可能错过可行初值。,求解困难时再修改
Stage A 与时间范围,cfg.optimization.continuation_factor,0.92,倍率,Stage A 时间压缩 continuation 的倍率。,更接近 1 时压缩更细、求解更稳但次数更多。,压缩更激进、次数更少但更易不可行。,高级调参
Stage A 与时间范围,cfg.optimization.min_segment_samples,12,个/段,每条几何线段允许的最少插补区间数。,避免过少离散点，但会抬高最短时间下界。,允许更短分配，但离散质量可能下降。,通常保持默认
Stage A 与时间范围,cfg.optimization.neighborhood_radius,2,整数区间,最短整数分配附近的局部重分配搜索半径。,检查更多 Nvec 邻域，耗时增加。,搜索更快，但可能漏掉更优分配。,高级调参
Stage A 与时间范围,cfg.optimization.max_coordinate_passes,120,轮,逐段坐标搜索的最大轮数。,搜索更充分，最坏耗时增加。,更快停止，可能未完全收敛。,高级调参
Pareto 与逐时间扫描,cfg.optimization.pareto_weights,[0 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1],向量,旧版“直线保持–振动”权重扫描参数；主流程的“时间–振动”Pareto 前沿不再使用。,对当前主流程无影响。,对当前主流程无影响。,仅保留兼容性，不建议修改
Pareto 与逐时间扫描,cfg.optimization.secondary_sample_offsets,[],整数向量,相对默认 Stage B 时间额外采样的整数时间偏移；空值表示不额外采样。,加入更多时间切片，计算量增加。,减少额外时间切片。,高级调参
Pareto 与逐时间扫描,cfg.optimization.run_optional_two_mode,false,逻辑值,是否执行可选的双模态扩展算例。,true 会增加一组双模态求解。,false 仅运行主要算例。,仅研究双模态时开启
Pareto 与逐时间扫描,cfg.optimization.time_sweep_enable,true,逻辑值,是否对 Nmin 到 Nmax 的每个整数时间求无抑制/有抑制成对解，并构建时间–振动 Pareto 前沿。,true 生成主 Pareto 前沿。,false 无法生成主 Pareto 前沿。,主流程必须保持 true
Pareto 与逐时间扫描,cfg.optimization.time_sweep_lambda_vibration,1,相对值,固定时间下振动目标权重；时间–振动 Pareto 要求该值严格等于 1。,不允许大于 1。,小于 1 会混入直线保持目标，程序将拒绝运行。,保持 1；用 cfg.objective.* 调整振动构成
Pareto 与逐时间扫描,cfg.optimization.time_sweep_resume,true,逻辑值,是否读取检查点并跳过已完成且兼容的时间点。,true 适合长时间计算和中断恢复。,false 会重新计算全部时间点。,通常保持 true
Pareto 与逐时间扫描,cfg.optimization.time_sweep_boundary_cpu_multiplier,2,倍率,严格最短时间边界点相对普通单次求解的 CPU 时限倍率。,边界点更可能完成，但等待更久。,更快超时，可能失去 Nmin 成对结果。,边界点超时时提高
直线保持,cfg.straightness.enable,true,逻辑值,是否启用直线核心区域的法向速度惩罚。,true 可减少非运动轴参与直线段。,false 不再优化直线保持。,通常保持 true
直线保持,cfg.straightness.hard_enable,false,逻辑值,是否把直线核心法向速度改为硬约束。,true 直线更严格，但更易不可行。,false 使用更稳健的软目标。,默认 false，谨慎开启
直线保持,cfg.straightness.core_velocity_tolerance,1e-07,归一化速度,直线核心硬约束允许的法向速度数值容差。,硬约束更宽松。,更严格，但可能产生数值困难。,仅 hard_enable=true 时调节
谐振模型,cfg.resonance.enable,true,逻辑值,是否启用二阶机械谐振模态及抑振目标。,true 建模并优化模态响应。,false 跳过谐振抑制。,研究抑振时保持 true
谐振模型,cfg.resonance.mode(1).enable,true,逻辑值,是否启用第一机械模态。,true 使用第一模态。,false 忽略第一模态。,通常保持 true
谐振模型,cfg.resonance.mode(1).frequency,10,Hz,第一模态固有频率，也是默认 PSD 抑制中心频率。,抑制目标向更高频移动。,抑制目标向更低频移动。,测试其他频率时修改
谐振模型,cfg.resonance.mode(1).zeta,0.02,-,第一模态阻尼比。,共振峰更宽更低，响应衰减更快。,共振更尖锐，抑振要求通常更敏感。,按辨识模型修改
谐振模型,cfg.resonance.mode(1).gain,1,-,第一模态静态增益。,同等输入产生更大的模态响应。,模态响应幅值减小。,按辨识模型修改
谐振模型,cfg.resonance.mode(2).enable,false,逻辑值,是否启用第二机械模态。,true 同时考虑第二模态，NLP 规模增加。,false 仅考虑第一模态。,研究双模态时开启
谐振模型,cfg.resonance.mode(2).frequency,35,Hz,第二模态固有频率。,第二抑制目标向更高频移动。,第二抑制目标向更低频移动。,仅第二模态启用时修改
谐振模型,cfg.resonance.mode(2).zeta,0.02,-,第二模态阻尼比。,第二模态响应衰减更快。,第二模态共振更尖锐。,按辨识模型修改
谐振模型,cfg.resonance.mode(2).gain,1,-,第二模态静态增益。,第二模态响应幅值增加。,第二模态响应幅值减小。,按辨识模型修改
频域分析,cfg.frequency.bandwidth,1,Hz（半带宽）,目标频率两侧的 PSD 积分半带宽；1 表示 f0±1 Hz。,覆盖更宽频带，抑制目标更综合。,更聚焦目标频点，但对频偏更敏感。,建议按模态带宽修改
频域分析,cfg.frequency.maximum_plot_frequency,100,Hz,PSD 和 FFT 图横轴显示的最高频率。,显示更多高频内容，低频细节相对压缩。,聚焦低频，但可能隐藏高频峰。,只影响绘图范围
振动目标,cfg.objective.vibration_energy_weight,1,权重,二阶模态归一化能量项的权重。,更强调降低整体模态能量。,弱化整体模态能量。,建议按研究重点修改
振动目标,cfg.objective.vibration_peak_weight,0.1,权重,二阶模态响应峰值项的权重。,更强调压低瞬时模态峰值。,弱化模态峰值。,建议按研究重点修改
振动目标,cfg.objective.acceleration_rms_weight,0.2,权重,X/Y 轴归一化加速度 RMS 的权重。,更强调全过程加速度平稳。,弱化加速度 RMS。,建议按研究重点修改
振动目标,cfg.objective.acceleration_peak_weight,0.1,权重,X/Y 轴归一化加速度峰值的权重。,更强调压低最大加速度。,弱化加速度峰值。,建议按研究重点修改
振动目标,cfg.objective.jerk_rms_weight,0.2,权重,X/Y 轴归一化 jerk RMS 的权重。,更强调全过程跃度平稳。,弱化 jerk RMS。,建议按研究重点修改
振动目标,cfg.objective.jerk_peak_weight,0.1,权重,X/Y 轴归一化 jerk 峰值的权重。,更强调压低最大 jerk。,弱化 jerk 峰值。,建议按研究重点修改
振动目标,cfg.objective.resonance_band_weight,1,权重,目标频率 PSD 带能量相对无抑制参考值的软目标权重。,更强力压低目标频带，但可能牺牲其他指标。,抑制推动力减弱，只保留其他振动项或硬门槛。,确保目标频带下降时重点调节
振动目标,cfg.objective.resonance_band_hard_enable,true,逻辑值,是否把目标频带最低下降比例作为硬约束。,true 时未达到最低降幅的解不可行。,false 时只依靠软权重推动下降。,需要保证 PSD 下降时保持 true
振动目标,cfg.objective.resonance_band_min_reduction,0.05,相对值,目标频带相对无抑制解的最低下降比例；0.05 表示至少 5%。,保证更大降幅，但可行性和求解难度降低。,更易可行，但保证的抑制效果变弱。,建议从小到大逐步提高
可行性正则化,cfg.objective.feas_pop_weight,1e-08,权重,可行性求解中 POP 的微小正则化权重。,更偏好较小 POP，可能改变桥接解。,正则化作用减弱。,通常保持默认
可行性正则化,cfg.objective.feas_crackle_weight,1e-08,权重,可行性求解中 crackle 的微小正则化权重。,更偏好较小 crackle。,正则化作用减弱。,通常保持默认
可行性正则化,cfg.objective.feas_snap_weight,1e-08,权重,可行性求解中 snap 的微小正则化权重。,更偏好较小 snap。,正则化作用减弱。,通常保持默认
IPOPT 求解器,cfg.solver.ipopt.max_iter,3000,次,每个固定 N NLP 的最大 IPOPT 迭代次数。,给困难问题更多迭代机会，但可能耗时更长。,更快停止，但可能提前失败。,超出迭代次数时提高
IPOPT 求解器,cfg.solver.ipopt.max_cpu_time,180,s/次求解,每个固定 N NLP 的最大 CPU 时间。,降低超时概率，但单次等待更久。,更快返回，但可行解可能尚未找到。,出现 Maximum_CpuTime_Exceeded 时提高
IPOPT 求解器,cfg.solver.ipopt.tol,1e-06,-,IPOPT 的目标收敛容差。,数值更宽松、较易收敛。,精度更高，但求解更难。,高级调参
IPOPT 求解器,cfg.solver.ipopt.acceptable_tol,1e-05,-,IPOPT 可接受解的较宽松容差。,更容易以 acceptable 状态结束。,要求更高的可接受精度。,高级调参
IPOPT 求解器,cfg.solver.ipopt.acceptable_iter,8,次,连续满足 acceptable_tol 后允许结束的迭代数。,需维持更久才结束。,更早接受近似收敛。,高级调参
IPOPT 求解器,cfg.solver.ipopt.print_level,0,级别,IPOPT 控制台输出详细程度。,显示更多求解器诊断。,输出更安静。,调试时提高
IPOPT 求解器,cfg.solver.expand,true,逻辑值,是否让 CasADi 展开符号图后交给求解器。,true 常可提高求解速度，但构建和内存需求可能增加。,false 保留未展开图。,通常保持 true
IPOPT 求解器,cfg.solver.hard_bound_margin,0,相对值,在硬上限内部预留的数值裕量。,离边界更远、验证更稳，但有效能力下降。,更充分利用极限，数值越界风险增加。,验证边界偶发超限时小幅提高
独立验证,cfg.validation.dynamics_abs_tol,2e-06,归一化绝对误差,精确离散动力学残差容差。,验证更宽松。,验证更严格，可能拒绝数值上可接受的解。,通常保持默认
独立验证,cfg.validation.boundary_abs_tol,2e-05,归一化绝对误差,端点边界状态残差容差。,验证更宽松。,验证更严格。,通常保持默认
独立验证,cfg.validation.relative_limit_tol,0.0001,相对值,运动学硬上限验证允许的相对数值误差。,更容忍求解器边界误差。,更严格检查上限。,通常保持默认
独立验证,cfg.validation.geometry_abs_tol,0.0002,mm,轮廓误差验证允许的绝对数值裕量。,更容忍几何数值误差。,更严格检查容差带。,通常保持默认
独立验证,cfg.validation.time_abs_tol,1e-12,s,T 与 N×Ts 一致性的绝对容差。,时间一致性检查更宽松。,时间一致性检查更严格。,通常保持默认
独立验证,cfg.validation.backward_velocity_tol,0.0001,mm/s,判断切向反向运动时允许的负速度容差。,更容忍轻微反向数值噪声。,更严格禁止反向运动。,通常保持默认
独立验证,cfg.validation.nan_fail,true,逻辑值,是否在结果含 NaN/Inf 时直接验证失败。,true 可阻止无效结果进入输出。,false 可能掩盖无效数值。,保持 true
独立验证,cfg.validation.resonance_band_relative_tol,0.001,相对值,独立 PSD 频带下降检查的相对数值容差。,更容忍门槛附近的数值偏差。,更严格执行最低降幅。,通常保持默认
绘图与输出,cfg.plot.visible,off,on/off,MATLAB 图窗是否可见。,on 便于交互查看，但批处理会弹窗。,off 适合无人值守运行。,批处理通常保持 off
绘图与输出,cfg.plot.resolution,180,dpi,保存 PNG 图片的分辨率。,图片更清晰，文件更大、导出更慢。,文件更小，但文字和曲线清晰度下降。,按论文或屏幕需求修改
绘图与输出,cfg.output.figures,E:\Desktop\codex_test4\POP_MOO_Trajectory\output\figures,文件夹,所有图片的输出目录。,不适用。,不适用。,需要隔离不同算例时修改
绘图与输出,cfg.output.csv,E:\Desktop\codex_test4\POP_MOO_Trajectory\output\csv,文件夹,轨迹、指标和参数表 CSV 的输出目录。,不适用。,不适用。,需要隔离不同算例时修改
绘图与输出,cfg.output.mat,E:\Desktop\codex_test4\POP_MOO_Trajectory\output\mat,文件夹,结果、搜索历史和检查点 MAT 文件的输出目录。,不适用。,不适用。,需要隔离不同算例时修改
